id,question,expected_type,flat_rag_answer,graph_rag_answer,winner,notes
11,How is Ilya Sutskever connected to OpenAI's safety and superalignment story?,multi-hop,"Ilya Sutskever is connected to OpenAI's safety and superalignment story as he was the former chief scientist and co-leader of the superalignment project, which aimed to align future superintelligent systems. He argued that open-sourcing increasingly capable models was risky due to safety concerns. Sutskever left OpenAI in May 2024, which coincided with the end of the superalignment project.","The graph context indicates that Ilya Sutskever was a co-founder of OpenAI and served as its chief scientist until his resignation in May 2024. He argued that open-sourcing increasingly capable models was risky, which suggests he had concerns about safety in AI development. Additionally, the superalignment project, which aimed to address safety and alignment issues in AI, was co-led by Sutskever and ended in May 2024 after his departure. This connection implies that Sutskever played a significant role in shaping OpenAI's approach to safety and superalignment before leaving the organization.

Thus, Ilya Sutskever is connected to OpenAI's safety and superalignment story through his foundational role, his advocacy for caution in AI development, and his leadership in the superalignment project.",GraphRAG,GraphRAG answered with an explicit graph path.
12,"What path connects Microsoft to MS-DOS, Windows, Windows NT, and Xbox?",multi-hop,"The path that connects Microsoft to MS-DOS, Windows, Windows NT, and Xbox is the evolution of its operating systems and hardware products. Microsoft started with MS-DOS, which was foundational for its early operating systems. This led to the development of Windows as a graphical extension of MS-DOS, followed by Windows NT, which unified the Windows operating systems under a new codebase. Finally, Microsoft expanded into hardware with the release of the Xbox, marking its entry into the video game console market.","The graph does not contain enough information to determine a specific path connecting Microsoft to MS-DOS, Windows, Windows NT, and Xbox. While it provides details about Microsoft's ownership and development of these products, it does not outline a direct or sequential path connecting them in a way that answers the question.",Flat RAG,Flat RAG had usable retrieved text while graph context was insufficient.
13,"How are Bill Gates, Paul Allen, Traf-O-Data, and Microsoft connected?",multi-hop,"Bill Gates and Paul Allen are connected through their founding of Traf-O-Data and later Microsoft. They started Traf-O-Data in 1972 to sell a computer that tracked automobile traffic data. Their experience and skills in programming led them to create a BASIC interpreter for the Altair 8800 microcomputer, which ultimately resulted in the establishment of Microsoft on April 4, 1975. Thus, Traf-O-Data was an early venture that laid the groundwork for their later success with Microsoft.","Bill Gates, Paul Allen, Traf-O-Data, and Microsoft are connected through their foundational roles in the establishment of Microsoft. Bill Gates and Paul Allen co-founded Microsoft in 1975, and prior to that, they founded Traf-O-Data in 1972. This means that Traf-O-Data is part of the early history that led to the creation of Microsoft. 

The reasoning path is as follows:
1. Bill Gates and Paul Allen founded Traf-O-Data in 1972.
2. They later co-founded Microsoft in 1975.
3. Therefore, Traf-O-Data is connected to Microsoft through its founders, Gates and Allen. 

Thus, the connections are:
- Bill Gates and Paul Allen are co-founders of Microsoft.
- Traf-O-Data is a precursor to Microsoft, founded by the same individuals.",GraphRAG,GraphRAG answered with an explicit graph path.
14,"How is Microsoft connected to GitHub, LinkedIn, and Activision Blizzard through acquisitions?",multi-hop,"Microsoft is connected to GitHub, LinkedIn, and Activision Blizzard through acquisitions as follows:

1. **GitHub**: Microsoft announced its intent to acquire GitHub for $7.5 billion, and the deal closed on October 26, 2018. GitHub continues to operate independently under Microsoft.

2. **LinkedIn**: The context does not provide specific details about the acquisition of LinkedIn, but it is known that Microsoft acquired LinkedIn in 2016 for approximately $26.2 billion.

3. **Activision Blizzard**: Microsoft announced the acquisition of Activision Blizzard in January 2022 for $68.7 billion, and the deal was completed on October 13, 2023.

The context is insufficient to provide details about the LinkedIn acquisition.","The graph context provides specific information about Microsoft's acquisitions of GitHub, LinkedIn, and Activision Blizzard:

1. **GitHub**: Microsoft acquired GitHub on June 4, 2018, for $7.5 billion, with the deal closing on October 26, 2018.
2. **LinkedIn**: Microsoft acquired LinkedIn in 2016.
3. **Activision Blizzard**: Microsoft announced the acquisition of Activision Blizzard on January 18, 2022, and the deal was closed on October 13, 2023.

Thus, Microsoft is connected to GitHub, LinkedIn, and Activision Blizzard through these acquisition events. 

The reasoning path is straightforward: I identified the relevant acquisition statements in the graph context and summarized them to answer the question.",GraphRAG,GraphRAG found a graph path while Flat RAG lacked context.
15,"How does Satya Nadella connect to Steve Ballmer, Microsoft, and Sam Altman?",multi-hop,"Satya Nadella connects to Steve Ballmer as his successor as CEO of Microsoft, having taken over the role in 2014 after Ballmer stepped down. Nadella has since led Microsoft in a shift towards cloud computing and other technologies. He also connects to Sam Altman through recent events where Microsoft expressed support for Altman during his removal as CEO of OpenAI, and subsequently announced that Altman and Greg Brockman would be joining Microsoft to lead a new advanced AI research team. Thus, Nadella is linked to both Ballmer and Altman through their roles and recent developments at Microsoft and OpenAI.","Satya Nadella connects to Steve Ballmer, Microsoft, and Sam Altman through a series of leadership transitions and organizational changes within Microsoft. 

1. **Steve Ballmer**: Satya Nadella succeeded Steve Ballmer as CEO of Microsoft in 2014, marking a direct leadership connection between the two.
2. **Microsoft**: Both Ballmer and Nadella have served as CEOs of Microsoft, with Nadella continuing the company's evolution after Ballmer stepped down.
3. **Sam Altman**: Recently, Satya Nadella announced that Sam Altman would join Microsoft to lead a new advanced AI research team, establishing a professional relationship between them.

Thus, the reasoning path shows a clear connection through leadership roles and recent organizational developments within Microsoft.",GraphRAG,GraphRAG answered with an explicit graph path.
16,"How is OpenAI connected to News Corp, The New York Times, and copyright-related disputes?",multi-hop,"OpenAI is connected to News Corp and The New York Times through a series of copyright-related disputes. On May 22, 2024, OpenAI entered into an agreement with News Corp to integrate content from its publications, including The Wall Street Journal and The New York Post, into its AI platform. However, The New York Times, along with other publications, has sued OpenAI for copyright infringement, alleging that the company unlawfully used their content to train its AI models. This pattern of legal action reflects ongoing tensions between OpenAI and various media organizations regarding the use of copyrighted material.","OpenAI is connected to News Corp and The New York Times through various legal and business interactions. Specifically, OpenAI signed agreements with News Corp to integrate news content from its publications, including The Wall Street Journal and the New York Post. Additionally, both News Corp and The New York Times have been involved in copyright-related disputes with OpenAI, with The New York Times suing OpenAI for copyright infringement in late December 2023, and other publications, including Canadian news outlets, also filing lawsuits against OpenAI for using their articles without permission.

The reasoning path is as follows:
1. OpenAI signed agreements with News Corp for content integration.
2. The New York Times sued OpenAI for copyright infringement.
3. Other news outlets have also filed lawsuits against OpenAI for similar copyright issues.

Thus, the connections between OpenAI, News Corp, The New York Times, and copyright-related disputes are established through these agreements and legal actions.",GraphRAG,GraphRAG answered with an explicit graph path.
17,"How does OpenAI connect to Whisper, YouTube transcription, and GPT-4 training?",multi-hop,The context is insufficient.,"The graph context provides sufficient information to explain how OpenAI connects to Whisper, YouTube transcription, and GPT-4 training. 

1. **Whisper**: OpenAI used Whisper, a speech recognition model, to transcribe over one million hours of YouTube videos into text.
2. **YouTube Transcription**: The transcriptions from YouTube videos were part of the data used for training.
3. **GPT-4 Training**: The dataset created from these transcriptions was instrumental in training GPT-4.

Thus, the connection is that Whisper facilitated the transcription of YouTube content, which in turn contributed to the training dataset for GPT-4.",GraphRAG,GraphRAG found a graph path while Flat RAG lacked context.
18,"How are OpenAI Foundation, OpenAI Group PBC, the nonprofit, and Microsoft connected in the graph?",multi-hop,"The context provides information about the connections between OpenAI Foundation, OpenAI Group PBC, the nonprofit, and Microsoft. OpenAI Foundation is the nonprofit that controls OpenAI Group PBC, which is the for-profit entity formed after OpenAI's restructuring. OpenAI Foundation holds a 26% stake in OpenAI Group PBC, while Microsoft holds a 27% stake. Additionally, all members of the OpenAI Group PBC board of directors are appointed by the OpenAI Foundation, which can remove them at any time. This structure indicates a close relationship between the nonprofit and the for-profit entity, with Microsoft being a significant investor in the for-profit branch. 

Thus, the connections are as follows:
- OpenAI Foundation controls OpenAI Group PBC.
- OpenAI Foundation holds a 26% stake in OpenAI Group PBC.
- Microsoft holds a 27% stake in OpenAI Group PBC.
- The board of OpenAI Group PBC is appointed by OpenAI Foundation.

Overall, the context is sufficient to answer the question.","In the graph context, the connections between OpenAI Foundation, OpenAI Group PBC, the nonprofit, and Microsoft can be summarized as follows:

1. **Ownership Structure**: The OpenAI Foundation owns a 26% stake in OpenAI Group PBC, which indicates a direct financial relationship between the nonprofit and the for-profit entity.

2. **Microsoft's Investment**: Microsoft has invested significantly in OpenAI, including a multi-billion dollar investment deal and a $1 billion investment in OpenAI LP. This investment relationship suggests that Microsoft has a vested interest in the success of OpenAI's initiatives.

3. **Microsoft's Ownership**: Following a restructuring in 2025, Microsoft owned a 27% stake in OpenAI Group PBC, further solidifying its connection to both the for-profit and nonprofit aspects of OpenAI.

4. **Interconnectedness**: The OpenAI Group PBC is part of the OpenAI Foundation, and all board members of the PBC are appointed by the Foundation, indicating a governance link between the nonprofit and the for-profit entity.

In summary, the OpenAI Foundation and OpenAI Group PBC are interconnected through ownership and governance, while Microsoft is linked through significant investments and ownership stakes in the for-profit entity.",GraphRAG,GraphRAG answered with an explicit graph path.
19,"How is OpenAI connected to Nvidia, AMD, Oracle, Google Cloud TPUs, and Azure services?",multi-hop,"OpenAI is connected to Nvidia, AMD, Oracle, Google Cloud TPUs, and Azure services through various partnerships and agreements. OpenAI has sought to reduce its dependence on Nvidia GPUs by exploring alternatives, such as renting Google Cloud's Tensor Processing Units (TPUs) and entering into a significant contract with Oracle for computing power. Additionally, OpenAI has announced multi-billion dollar deals with AMD for chip purchases and has a partnership with Nvidia that includes a potential investment. OpenAI also has a long-standing relationship with Microsoft, which has invested heavily in the company and provides Azure services for its operations.","OpenAI is connected to Nvidia, AMD, Oracle, Google Cloud TPUs, and Azure services through various partnerships and agreements:

1. **Nvidia**: OpenAI has a history of collaboration with Nvidia, including receiving a gifted DGX-1 supercomputer in 2016 and a memorandum of understanding announced in September 2025, which included potential deployment of Nvidia systems.

2. **AMD**: OpenAI announced a multi-billion dollar deal with AMD in October 2025, indicating a significant partnership for hardware supply.

3. **Oracle**: OpenAI signed a contract with Oracle in September 2025 to purchase $300 billion in computing power over five years, establishing a strong connection for cloud computing resources.

4. **Google Cloud TPUs**: OpenAI began renting Google Cloud's Tensor Processing Units (TPUs) in June 2025 to support its services, indicating reliance on Google’s infrastructure for computational needs.

5. **Azure services**: OpenAI has a substantial relationship with Microsoft, which provides Azure cloud computing resources. OpenAI agreed to purchase $250 billion of Azure services, highlighting a deep integration into Microsoft's cloud ecosystem.

These connections illustrate OpenAI's reliance on various technology companies for hardware and cloud computing resources essential for its operations and development of AI technologies.",GraphRAG,GraphRAG answered with an explicit graph path.
20,"Which graph paths show Microsoft expanding from operating systems into cloud, developer tools, gaming, and AI?",multi-hop,The context is insufficient.,"The graph does not contain enough information to identify specific paths showing Microsoft expanding from operating systems into cloud, developer tools, gaming, and AI. While there are mentions of Microsoft's investments in OpenAI and its involvement in cloud computing and gaming, the graph lacks explicit connections or paths that clearly illustrate this expansion across all specified areas.",Tie,Both methods had insufficient context.
